DateTime,Entries,UniqueIPs
1579812977,16069,16069
1579814900,16313,16313
1579816884,16598,16598
1579818745,16902,16902
1579820762,17435,17435
1579822594,17593,17593
1579824496,17813,17813
1579826417,18323,18323
1579828344,18817,18817
1579830255,19480,19480
1579832200,20153,20153
1579834123,21023,21023
1579836031,21388,21388
1579837944,22174,22174
1579839895,22850,22850
1579841806,23661,23661
1579843724,24180,24180
1579845911,24945,24945
1579847795,25550,25550
1579849721,26108,26108
1579851626,26746,26746
1579853547,27246,27246
1579855479,27879,27879
1579857417,28505,28505
1579859320,29150,29150
1579861219,29504,29504
1579863142,29572,29572
1579865084,29391,29391
1579866979,29268,29268
1579868897,29121,29121
1579871145,28580,28580
1579873100,27600,27600
1579874939,27397,27397
1579876836,27150,27150
1579878764,26936,26936
1579880800,26688,26688
1579882834,26622,26622
1579884740,26593,26593
1579886659,26600,26600
1579888601,26591,26591
1579890497,26568,26568
1579892743,26503,26503
1579894829,26468,26468
1579896999,26483,26483
1579898921,26452,26452
1579900826,26391,26391
1579902743,26365,26365
1579904725,26385,26385
1579906631,26015,26015
1579908673,25884,25884
1579910770,25790,25790
1579912578,25555,25555
1579914761,25251,25251
1579916659,24840,24840
1579918580,24354,24354
1579920515,23689,23689
1579922451,23132,23132
1579924357,22476,22476
1579926259,21975,21975
1579928240,21389,21389
1579930100,21234,21234
1579932341,20958,20958
1579934189,20765,20765
1579936104,20478,20478
1579938037,20343,20343
1579939970,20392,20392
1579941857,20372,20372
1579943842,20258,20258
1579945740,20296,20296
1579947645,20344,20344
1579949558,20757,20757
1579951483,21337,21337
1579953403,22074,22074
1579955299,22448,22448
1579957510,23277,23277
1579959404,24067,24067
1579961316,24656,24656
1579963255,25411,25411
1579965165,26124,26124
1579967069,26819,26819
1579968983,27441,27441
1579970925,27822,27822
1579972833,28195,28195
1579974749,27975,27975
1579976695,27770,27770
1579978613,27504,27504
1579980541,27300,27300
1579982722,27063,27063
1579984596,26869,26869
1579986510,26666,26666
1579988426,26396,26396
1579990360,26171,26171
1579992284,25884,25884
1579994183,25716,25716
1579996107,25602,25602
1579998270,25381,25381
1580000175,25147,25147
1580002113,24961,24961
1580004371,24667,24667
1580006187,24445,24445
1580008127,24254,24254
1580010033,24101,24101
1580011959,23937,23937
1580013857,23721,23721
1580015785,23376,23376
1580017717,22860,22860
1580019688,22429,22429
1580021534,22085,22085
1580023474,21738,21738
1580025390,21026,21026
1580027296,20505,20505
1580029527,19809,19809
1580031386,19110,19110
1580033306,18466,18466
1580035219,17872,17872
1580037154,17256,17256
1580039091,16890,16890
1580040989,17230,17230
1580042981,16657,16657
1580044820,16081,16081
1580046734,15506,15506
1580048669,15060,15060
1580050576,14424,14424
1580052496,13879,13879
1580054727,13183,13183
1580056582,12705,12705
1580058522,12346,12346
1580060436,12307,12307
1580062340,12427,12427
1580064274,12537,12537
1580066182,12640,12640
1580068106,12737,12737
1580070034,12849,12849
1580071935,12938,12938
1580073863,13117,13117
1580075827,13480,13480
1580077695,13784,13784
1580079775,14056,14056
1580081773,14168,14168
1580083718,14255,14255
1580085620,14409,14409
1580087536,14554,14554
1580089531,14728,14728
1580091384,14876,14876
1580093299,15036,15036
1580095232,15189,15189
1580097144,15369,15369
1580099058,15579,15579
1580100984,15771,15771
1580102892,15923,15923
1580105009,16041,16041
1580106979,16211,16211
1580108915,16271,16271
1580110823,16378,16378
1580112739,16481,16481
1580114669,16616,16616
1580116578,16717,16717
1580118742,17054,17054
1580120665,17310,17310
1580122589,17561,17561
1580124499,17666,17666
1580127418,17197,17197
1580129548,17555,17555
1580131484,17834,17834
1580133398,18187,18187
1580135299,18581,18581
1580137419,19125,19125
1580139372,19629,19629
1580142260,19987,19987
1580144189,20487,20487
1580146095,20879,20879
1580148217,21434,21434
